Job,2016,2017,2018,2019,2020,2021
D,2806,1907,2124,2212,2469,2427
J,72778,73114,75511,73894,92566,94086
K,108312,105539,100557,103919,116945,119206
M,106397,108036,111934,116879,144659,145714
