Job,2016,2017,2018,2019,2020,2021
D,7372,5506,5904,6266,10184,11119
J,87016,93542,99982,102459,137846,152980
K,78223,79676,80263,80030,80063,82516
M,214195,217445,236253,247209,288948,307264
