Job,2016,2017,2018,2019,2020,2021
D,4811,3669,3959,4022,4372,4446
J,271377,271916,282250,286168,367239,396535
K,161400,162713,161716,162191,176159,179852
M,328689,329786,351585,368271,446287,452045
