Job,2016,2017,2018,2019,2020,2021
D,3029,2643,2664,2739,4243,4438
J,13634,14449,14737,14562,21115,23100
K,25287,24704,23616,23662,22459,23863
M,21382,22511,24405,26225,35520,36382
