,2016.D,2016.J,2016.K,2016.M,2017.D,2017.J,2017.K,2017.M,2018.D,2018.J,2018.K,2018.M,2019.D,2019.J,2019.K,2019.M,2020.D,2020.J,2020.K,2020.M,2021.D,2021.J,2021.K,2021.M
인천,3402,8734,25495,28196,3022,9043,25929,27677,2974,9902,25635,30601,3192,10200,25519,31577,3452,14027,24618,41922,3644,14909,23957,43353
총종사자,1004235,1004235,1004235,1004235,1034344,1034344,1034344,1034344,1070454,1070454,1070454,1070454,1092494,1092494,1092494,1092494,1208269,1208269,1208269,1208269,1223448,1223448,1223448,1223448
고소득 총 종사자,65827,65827,65827,65827,65671,65671,65671,65671,69112,69112,69112,69112,70488,70488,70488,70488,84019,84019,84019,84019,85863,85863,85863,85863
